rozmiar,czy_hybrydowy,wersja_ls,czy_jedna_iteracja_w_ls,czy_rozroznienie_plci,nr_selekcji,precyzja_ruletki,ilosc_uczestnikow_turnieju,metoda_selekcji_rankingowej,metoda_krzyzowania,jakosc_wyniku
71,True,1,True,,2,-1,2,-1,0,0.2951415165733313
71,True,1,True,,2,-1,2,-1,1,0.2812229593308336
71,True,1,True,,2,-1,2,-1,2,0.26354912826057575
71,True,1,True,,2,-1,10,-1,0,0.2778965369816161
71,True,1,True,,2,-1,10,-1,1,0.29305680793507666
71,True,1,True,,2,-1,10,-1,2,0.29438405797101447
71,True,1,True,,3,-1,-1,0,0,0.2920910724985021
71,True,1,True,,3,-1,-1,0,1,0.32093482554312047
71,True,1,True,,3,-1,-1,0,2,0.3102131721285396
71,True,1,True,,3,-1,-1,1,0,0.2958131067961165
71,True,1,True,,3,-1,-1,1,1,0.3176413096595537
71,True,1,True,,3,-1,-1,1,2,0.3067484662576687
71,False,-1,-1,,0,-1,-1,-1,0,0.2813446833068821
71,False,-1,-1,,0,-1,-1,-1,1,0.2608346709470305
71,False,-1,-1,,0,-1,-1,-1,2,0.27068295391449193
71,False,-1,-1,,1,0,-1,-1,0,0.300833076211046
71,False,-1,-1,,1,0,-1,-1,1,0.2755794234030526
71,False,-1,-1,,1,0,-1,-1,2,0.2697841726618705
71,False,-1,-1,,1,1,-1,-1,0,0.30101883297313986
71,False,-1,-1,,1,1,-1,-1,1,0.2790497996565541
71,False,-1,-1,,1,1,-1,-1,2,0.28001148765077544
71,False,-1,-1,,1,2,-1,-1,0,0.3940986257073565
71,False,-1,-1,,1,2,-1,-1,1,0.40692821368948245
71,False,-1,-1,,1,2,-1,-1,2,0.39425798625151637
71,False,-1,-1,,2,-1,2,-1,0,0.4560336763330215
71,False,-1,-1,,2,-1,2,-1,1,0.3644859813084112
71,False,-1,-1,,2,-1,2,-1,2,0.4484820607175713
71,False,-1,-1,,2,-1,10,-1,0,0.4303685720591481
71,False,-1,-1,,2,-1,10,-1,1,0.4470426409903714
71,False,-1,-1,,2,-1,10,-1,2,0.4283831282952548
71,False,-1,-1,,3,-1,-1,0,0,0.45107564191533656
71,False,-1,-1,,3,-1,-1,0,1,0.45454545454545453
71,False,-1,-1,,3,-1,-1,0,2,0.4287598944591029
71,False,-1,-1,,3,-1,-1,1,0,0.41631084543125535
71,False,-1,-1,,3,-1,-1,1,1,0.437219730941704
71,False,-1,-1,,3,-1,-1,1,2,0.4638439581351094
323,True,0,True,,0,-1,-1,-1,0,0.27328936521022257
323,True,0,True,,0,-1,-1,-1,1,0.24528301886792453
323,True,0,True,,0,-1,-1,-1,2,0.2445141065830721
323,True,0,True,,1,0,-1,-1,0,0.2727833779057807
323,True,0,True,,1,0,-1,-1,1,0.2463768115942029
323,True,0,True,,1,0,-1,-1,2,0.2396096855800506
323,True,0,True,,1,1,-1,-1,0,0.2784544309113818
323,True,0,True,,1,1,-1,-1,1,0.24259055982436883
323,True,0,True,,1,1,-1,-1,2,0.23956639566395663
323,True,0,True,,1,2,-1,-1,0,0.2701161132613567
323,True,0,True,,1,2,-1,-1,1,0.2753322259136213
323,True,0,True,,1,2,-1,-1,2,0.2787471095228085
323,True,0,True,,2,-1,2,-1,0,0.2747047855811063
323,True,0,True,,2,-1,2,-1,1,0.25868123293016
323,True,0,True,,2,-1,2,-1,2,0.27481865284974094
323,True,0,True,,2,-1,10,-1,0,0.2746478873239437
323,True,0,True,,2,-1,10,-1,1,0.30211893369788106
323,True,0,True,,2,-1,10,-1,2,0.29162084891137013
323,True,0,True,,3,-1,-1,0,0,0.2740801984291029
323,True,0,True,,3,-1,-1,0,1,0.30503795721187027
323,True,0,True,,3,-1,-1,0,2,0.28970941664845967
323,True,0,True,,3,-1,-1,1,0,0.27579034941763725
323,True,0,True,,3,-1,-1,1,1,0.29394812680115273
323,True,0,True,,3,-1,-1,1,2,0.29303867403314915
323,True,1,True,,0,-1,-1,-1,0,0.2290946786454734
323,True,1,True,,0,-1,-1,-1,1,0.22838442990010335
323,True,1,True,,0,-1,-1,-1,2,0.23242769500438212
323,True,1,True,,1,0,-1,-1,0,0.23169666258955093
323,True,1,True,,1,0,-1,-1,1,0.2290946786454734
323,True,1,True,,1,0,-1,-1,2,0.2284631288766368
323,True,1,True,,1,1,-1,-1,0,0.23581717944157923
323,True,1,True,,1,1,-1,-1,1,0.2277959113554372
323,True,1,True,,1,1,-1,-1,2,0.22976953734188182
323,True,1,True,,1,2,-1,-1,0,0.23415150980045912
323,True,1,True,,1,2,-1,-1,1,0.23469026548672567
323,True,1,True,,1,2,-1,-1,2,0.2342756183745583
323,True,1,True,,2,-1,2,-1,0,0.23165618448637318
323,True,1,True,,2,-1,2,-1,1,0.23076923076923078
323,True,1,True,,2,-1,2,-1,2,0.23481494598902072
323,True,1,True,,2,-1,10,-1,0,0.23304042179261863
323,True,1,True,,2,-1,10,-1,1,0.23556581986143188
323,True,1,True,,2,-1,10,-1,2,0.23028829454671762
323,True,1,True,,3,-1,-1,0,0,0.23415150980045912
323,True,1,True,,3,-1,-1,0,1,0.2328767123287671
323,True,1,True,,3,-1,-1,0,2,0.23448275862068965
323,True,1,True,,3,-1,-1,1,0,0.23369756785336623
323,True,1,True,,3,-1,-1,1,1,0.2378902045209903
323,True,1,True,,3,-1,-1,1,2,0.232264844981608
323,False,-1,-1,,0,-1,-1,-1,0,0.2398697539797395
323,False,-1,-1,,0,-1,-1,-1,1,0.23956639566395663
323,False,-1,-1,,0,-1,-1,-1,2,0.23665893271461716
323,False,-1,-1,,1,0,-1,-1,0,0.2397396492496836
323,False,-1,-1,,1,0,-1,-1,1,0.23539854429256168
323,False,-1,-1,,1,0,-1,-1,2,0.23699731903485255
323,False,-1,-1,,1,1,-1,-1,0,0.24078445614672236
323,False,-1,-1,,1,1,-1,-1,1,0.2449658230186588
323,False,-1,-1,,1,1,-1,-1,2,0.23930698429886302
323,False,-1,-1,,1,2,-1,-1,0,0.2528604118993135
323,False,-1,-1,,1,2,-1,-1,1,0.2623145400593472
