rozmiar,liczba_it,temp,nr_schematu,nr_permutacji,jakosc_wyniku
48,240,2304,1,0,0.9568736730360934
48,240,2304,1,1,0.9568736730360934
48,240,2304,1,2,0.9568736730360934
48,240,2304,2,0,0.9568736730360934
48,240,2304,2,1,0.9568736730360934
48,240,2304,2,2,0.9568736730360934
48,332,960,0,0,0.9568736730360934
48,332,960,0,1,0.9568736730360934
48,332,960,0,2,0.9568736730360934
48,332,960,1,0,0.9568736730360934
48,332,960,1,1,0.9568736730360934
48,332,960,1,2,0.9568736730360934
48,332,960,2,0,0.9568736730360934
48,332,960,2,1,0.9568736730360934
48,332,960,2,2,0.9568736730360934
48,332,332,0,0,0.9568736730360934
48,332,332,0,1,0.9568736730360934
48,332,332,0,2,0.9568736730360934
48,332,332,1,0,0.9568736730360934
48,332,332,1,1,0.9568736730360934
48,332,332,1,2,0.9568736730360934
48,332,332,2,0,0.9568736730360934
48,332,332,2,1,0.9568736730360934
48,332,332,2,2,0.9568736730360934
48,332,2304,0,0,0.9568736730360934
48,332,2304,0,1,0.9568736730360934
48,332,2304,0,2,0.9568736730360934
48,332,2304,1,0,0.9568736730360934
48,332,2304,1,1,0.9568736730360934
48,332,2304,1,2,0.9568736730360934
48,332,2304,2,0,0.9568736730360934
48,332,2304,2,1,0.9568736730360934
48,332,2304,2,2,0.9568736730360934
48,2304,960,0,0,0.9568736730360934
48,2304,960,0,1,0.9568736730360934
48,2304,960,0,2,0.9568736730360934
48,2304,960,1,0,0.9568736730360934
48,2304,960,1,1,0.9568736730360934
48,2304,960,1,2,0.9667515752781874
48,2304,960,2,0,0.9667515752781874
48,2304,960,2,1,0.9667515752781874
48,2304,960,2,2,0.9667515752781874
48,2304,332,0,0,0.9667515752781874
48,2304,332,0,1,0.9667515752781874
48,2304,332,0,2,0.9667515752781874
48,2304,332,1,0,0.9667515752781874
48,2304,332,1,1,0.9667515752781874
48,2304,332,1,2,0.9667515752781874
48,2304,332,2,0,0.9667515752781874
48,2304,332,2,1,0.9667515752781874
48,2304,332,2,2,0.9667515752781874
48,2304,2304,0,0,0.9667515752781874
48,2304,2304,0,1,0.9667515752781874
48,2304,2304,0,2,0.9667515752781874
48,2304,2304,1,0,0.9667515752781874
48,2304,2304,1,1,0.9667515752781874
48,2304,2304,1,2,0.9667515752781874
48,2304,2304,2,0,0.9667515752781874
48,2304,2304,2,1,0.9667515752781874
48,2304,2304,2,2,0.9667515752781874
71,355,1420,0,0,0.264945652173913
71,355,1420,0,1,0.264945652173913
71,355,1420,0,2,0.26516181669839545
71,355,1420,1,0,0.6452680344142951
71,355,1420,1,1,0.7790651218537755
71,355,1420,1,2,0.7790651218537755
71,355,1420,2,0,0.7790651218537755
71,355,1420,2,1,0.8748317631224765
71,355,1420,2,2,0.8748317631224765
71,355,598,0,0,0.8748317631224765
71,355,598,0,1,0.8748317631224765
71,355,598,0,2,0.8748317631224765
71,355,598,1,0,0.8748317631224765
71,355,598,1,1,0.8748317631224765
71,355,598,1,2,0.8748317631224765
71,355,598,2,0,0.8748317631224765
71,355,598,2,1,0.8815551537070524
71,355,598,2,2,0.8815551537070524
71,355,5041,0,0,0.8815551537070524
71,355,5041,0,1,0.8815551537070524
71,355,5041,0,2,0.8815551537070524
71,355,5041,1,0,0.8815551537070524
71,355,5041,1,1,0.8815551537070524
71,355,5041,1,2,0.8815551537070524
71,355,5041,2,0,0.8815551537070524
71,355,5041,2,1,0.8875739644970414
71,355,5041,2,2,0.8875739644970414
71,598,1420,0,0,0.8875739644970414
71,598,1420,0,1,0.8875739644970414
71,598,1420,0,2,0.8875739644970414
71,598,1420,1,0,0.8875739644970414
71,598,1420,1,1,0.8875739644970414
71,598,1420,1,2,0.8875739644970414
71,598,1420,2,0,0.8875739644970414
71,598,1420,2,1,0.8875739644970414
71,598,1420,2,2,0.8875739644970414
71,598,598,0,0,0.8875739644970414
71,598,598,0,1,0.8875739644970414
71,598,598,0,2,0.8875739644970414
